"id";"ile_id";"nom";"slug"
"333";"1";"Ndzaouzé-Mitsa";"ndzaouze-mitsa"
"334";"1";"Salimani-Itsadra";"salimani-itsadra"
"335";"1";"Dzahani II";"dzahani-ii"
"336";"1";"Dzahani-Tsidjé";"dzahani-tsidje"
"337";"1";"Dzahadjou-Itsadra";"dzahadjou-itsadra"
"339";"1";"Bandamadji-Itsadra";"bandamadji-itsadra"
"340";"1";"Vanamboini";"vanamboini"
"341";"1";"Vanadjou";"vanadjou"
"342";"1";"Ouellah-Itsadra";"ouellah-itsadra"
"343";"1";"Milebeni-Itsadra";"milebeni-itsadra"
"344";"1";"Zivadani-Itsadra";"zivadani-itsadra"
"345";"2";"Ongojou";"ongojou"
"346";"1";"Mramani";"mramani"
"349";"2";"Tsembehou";"tsembehou"
"350";"2";"Harembo";"harembo"
"351";"2";"Hajoho";"hajoho"
"352";"2";"Mirontsi";"mirontsi"
"354";"3";"WALLAH";"wallah"
"357";"2";"KOKI";"koki"
"358";"2";"NTSEMBEHOU";"ntsembehou"
"359";"2";"BAMBAO MTSANGA";"bambao-mtsanga"
"360";"2";"KONI";"koni"
"361";"2";"MREMANI";"mremani"
"362";"2";"BANDRANI";"bandrani"
"364";"1";"SINGANI";"singani"
"365";"1";"MKAZI";"mkazi-1"
"368";"1";"NTSOUDJINI";"ntsoudjini"
"370";"1";"MBENI";"mbeni"
"371";"1";"MITSAMIOULI";"mitsamiouli"
"376";"1";"M'kazi Bambao";"mkazi-bambao"
"377";"1";"Koua-Mitsamiouli";"koua-mitsamiouli"
"378";"1";"Sambakouni";"sambakouni"
"379";"1";"Vouvouni";"vouvouni"
"382";"1";"Ivembeni";"ivembeni"
"383";"1";"Nvouni";"nvouni"
"384";"1";"Bangoi-kouni";"bangoi-kouni"
"385";"1";"Koimbani wachili";"koimbani-wachili"
"386";"1";"Babadjani-Hamahamet";"babadjani-hamahamet"
"387";"2";"Bandrani M'tsangani";"bandrani-mtsangani"
"388";"1";"Mtsamdou Oichili";"mtsamdou-oichili"
"390";"1";"Dzahadjou Hambou";"dzahadjou-hambou-1"
"391";"1";"Ouzio";"ouzio"
"392";"1";"Itsandra Mdjini";"itsandra-mdjini"
"393";"2";"Patsy";"patsy"
"394";"2";"Mirontsy";"mirontsy"
"395";"2";"Domoni-Anjouan";"domoni-anjouan"
"396";"1";"Ntsorale Dimani";"ntsorale-dimani-1"
"397";"1";"Moidja Hamahamet";"moidja-hamahamet"
"398";"1";"Salimani Itsandra";"salimani-itsandra"
"399";"1";"Bahani Itsandra";"bahani-itsandra"
"400";"1";"Madjeoueni Mboinkou";"madjeoueni-mboinkou"
"401";"1";"Itsandzeni";"itsandzeni"
"402";"1";"Tsinimoichongo";"tsinimoichongo"
"403";"1";"Domoni amboini";"domoni-amboini"
"404";"1";"Mohoro";"mohoro"
"405";"1";"Bangoi Hambou";"bangoi-hambou-1"
"407";"1";"Ifoundihe Chamboini";"ifoundihe-chamboini-1"
"408";"1";"Mavigouni";"mavigouni"
"409";"1";"Nkomioni Hambou";"nkomioni-hambou-1"
"410";"1";"Hasseindjé";"hasseindje"
"411";"1";"Ntsaoueni";"ntsaoueni"
"412";"3";"Mbatsé";"mbatse"
"413";"1";"Nkourani-Sima";"nkourani-sima"
"414";"1";"Hantsambou";"hantsambou"
"417";"2";"sadampoini";"sadampoini"
"420";"1";"Zivadani";"zivadani"
"421";"1";"Ntsinimoipaga";"ntsinimoipaga"
"422";"1";"Heroubili";"heroubili"
"425";"2";"Bimbini";"bimbini"
"426";"2";"Bazimini";"bazimini"
"429";"2";"Wogondjou";"wogondjou"
"430";"1";"Malé mbadjini";"male-mbadjini"
"436";"1";"Badadaweni";"badadaweni"
"437";"2";"Ligoni";"ligoni"
"439";"1";"Seléa Bambao";"selea-bambao-1"
"440";"1";"Mboudadjou-Bambao";"mboudadjou-bambao"
"441";"1";"Moindzaza Boini";"moindzaza-boini"
"442";"1";"Sadani-Oichili";"sadani-oichili"
